t;season
7.300000000000011;winter
6.900000000000034;winter
9.400000000000034;winter
8.300000000000011;winter
7.0;winter
7.600000000000023;winter
7.900000000000034;winter
9.900000000000034;winter
7.100000000000023;winter
6.800000000000011;winter
5.5;winter
1.5;winter
3.5;winter
11.5;winter
10.700000000000045;winter
7.5;winter
6.300000000000011;winter
2.2000000000000455;winter
4.600000000000023;winter
11.100000000000023;winter
7.100000000000023;winter
3.400000000000034;winter
4.5;winter
1.0;winter
0.8000000000000114;winter
7.2000000000000455;winter
4.7000000000000455;winter
-1.1999999999999886;winter
-0.6999999999999886;winter
6.2000000000000455;winter
3.6000000000000227;winter
1.5;winter
2.6000000000000227;winter
2.6000000000000227;winter
3.0;winter
6.2000000000000455;winter
7.600000000000023;winter
4.300000000000011;winter
8.400000000000034;winter
7.300000000000011;winter
28.200000000000045;winter
27.100000000000023;winter
28.200000000000045;winter
26.700000000000045;winter
15.800000000000011;winter
4.800000000000011;winter
5.0;winter
25.900000000000034;winter
-2.1999999999999886;winter
23.600000000000023;winter
21.5;winter
24.200000000000045;winter
22.100000000000023;winter
23.900000000000034;winter
25.200000000000045;winter
25.0;winter
24.100000000000023;winter
-3.3999999999999773;winter
6.7000000000000455;winter
6.600000000000023;winter
8.800000000000011;winter
6.800000000000011;winter
6.300000000000011;winter
7.300000000000011;winter
7.400000000000034;winter
8.800000000000011;winter
7.7000000000000455;winter
7.600000000000023;winter
6.100000000000023;winter
1.5;winter
3.900000000000034;winter
11.300000000000011;winter
10.600000000000023;winter
9.400000000000034;winter
6.300000000000011;winter
2.1000000000000227;winter
1.7000000000000455;winter
11.100000000000023;winter
9.800000000000011;winter
3.7000000000000455;winter
6.900000000000034;winter
1.5;winter
2.1000000000000227;winter
9.200000000000045;winter
4.600000000000023;winter
-1.0;winter
0.30000000000001137;winter
4.400000000000034;winter
2.400000000000034;winter
1.2000000000000455;winter
1.900000000000034;winter
1.6000000000000227;winter
2.7000000000000455;winter
6.7000000000000455;winter
6.800000000000011;winter
4.5;winter
7.5;winter
6.600000000000023;winter
28.0;winter
27.100000000000023;winter
28.400000000000034;winter
26.600000000000023;winter
19.600000000000023;winter
5.900000000000034;winter
6.7000000000000455;winter
26.30000000000001;winter
-2.5;winter
23.80000000000001;winter
20.0;winter
24.400000000000034;winter
20.400000000000034;winter
22.100000000000023;winter
24.0;winter
23.200000000000045;winter
22.400000000000034;winter
-2.1999999999999886;winter
6.100000000000023;winter
5.800000000000011;winter
8.200000000000045;winter
6.300000000000011;winter
5.7000000000000455;winter
6.400000000000034;winter
6.600000000000023;winter
8.400000000000034;winter
6.900000000000034;winter
6.600000000000023;winter
7.400000000000034;winter
2.5;winter
4.2000000000000455;winter
11.100000000000023;winter
10.5;winter
9.600000000000023;winter
7.5;winter
2.7000000000000455;winter
5.800000000000011;winter
11.100000000000023;winter
9.800000000000011;winter
3.7000000000000455;winter
6.400000000000034;winter
1.7000000000000455;winter
3.400000000000034;winter
8.200000000000045;winter
4.100000000000023;winter
-0.6999999999999886;winter
1.5;winter
5.5;winter
1.6000000000000227;winter
-0.0999999999999659;winter
1.7000000000000455;winter
0.6000000000000227;winter
2.3000000000000114;winter
7.100000000000023;winter
7.0;winter
2.2000000000000455;winter
7.0;winter
5.800000000000011;winter
30.5;winter
30.100000000000023;winter
31.100000000000023;winter
28.900000000000034;winter
21.80000000000001;winter
8.600000000000023;winter
8.600000000000023;winter
27.80000000000001;winter
-2.1999999999999886;winter
23.400000000000034;winter
17.900000000000034;winter
24.100000000000023;winter
20.30000000000001;winter
21.600000000000023;winter
21.80000000000001;winter
22.700000000000045;winter
21.700000000000045;winter
-1.6999999999999886;winter
6.300000000000011;winter
5.800000000000011;winter
8.100000000000023;winter
5.7000000000000455;winter
5.2000000000000455;winter
5.2000000000000455;winter
6.900000000000034;winter
6.5;winter
6.400000000000034;winter
6.900000000000034;winter
8.300000000000011;winter
4.100000000000023;winter
6.600000000000023;winter
7.2000000000000455;winter
10.800000000000011;winter
9.700000000000045;winter
8.200000000000045;winter
4.0;winter
8.200000000000045;winter
11.5;winter
9.800000000000011;winter
4.800000000000011;winter
6.600000000000023;winter
4.400000000000034;winter
5.400000000000034;winter
8.700000000000045;winter
5.300000000000011;winter
0.9000000000000341;winter
4.7000000000000455;winter
1.1000000000000227;winter
8.0;winter
5.400000000000034;winter
2.6000000000000227;winter
3.8000000000000114;winter
4.400000000000034;winter
5.7000000000000455;winter
8.200000000000045;winter
7.7000000000000455;winter
6.400000000000034;winter
9.300000000000011;winter
10.900000000000034;winter
31.600000000000023;winter
31.5;winter
29.80000000000001;winter
31.400000000000034;winter
22.30000000000001;winter
9.600000000000023;winter
11.200000000000045;winter
26.900000000000034;winter
-2.6999999999999886;winter
23.600000000000023;winter
17.30000000000001;winter
23.5;winter
18.80000000000001;winter
21.100000000000023;winter
21.100000000000023;winter
22.400000000000034;winter
21.30000000000001;winter
-2.2999999999999545;winter
7.100000000000023;winter
6.300000000000011;winter
8.200000000000045;winter
7.100000000000023;winter
4.300000000000011;winter
8.300000000000011;winter
8.400000000000034;winter
